time,val
1888,80.3125
1896,80.3125
1904,79.8125
1912,78.9375
1920,77.75
1928,76.375
1936,74.9375
1944,73.3125
1952,71.625
1960,69.875
1968,68.0625
1976,66.4375
1984,65.125
1992,64.1875
2000,63.625
2008,63.3125
2016,63.1875
2024,63
2032,62.75
2040,62.4375
2048,62.1875
2056,62.25
2064,63.3125
2072,66.6875
2080,73.6875
2088,84.25
2096,96.6875
2104,108.188
2112,116.25
2120,119.812
2128,119.25
2136,115.75
2144,110.812
2152,105.875
2160,101.75
2168,98.8125
2176,97
2184,95.75
2192,94.6875
2200,93.4375
2208,91.8125
2216,89.9375
2224,88
2232,86.125
2240,84.4375
2248,82.8125
2256,81.1875
2264,79.5625
2272,78.1875
2280,77.4375
2288,77.5625
2296,78.4375
2304,79.8125
2312,81.3125
2320,82.4375
2328,82.875
2336,82.5625
2344,81.375
2352,79.5625
2360,77.375
2368,75.25
2376,73.3125
2384,71.75
2392,70.5625
2400,69.6875
2408,69.0625
2416,68.625
2424,68.25
2432,67.9375
2440,67.625
2448,67.375
2456,67.0625
2464,66.5
2472,65.625
2480,64.375
2488,62.8125
2496,61.1875
2504,60.0625
2512,60.3125
2520,63.5625
2528,71.0625
2536,82.8125
2544,96.6875
2552,109.5
2560,118.688
2568,122.938
2576,122.5
2584,118.688
2592,113.062
2600,107.062
2608,101.562
2616,97.125
2624,93.75
2632,91.375
2640,89.75
2648,88.625
2656,87.8125
2664,87.1875
2672,86.5625
2680,85.875
2688,85
2696,83.75
2704,82.1875
2712,80.5
2720,79
2728,78.125
2736,77.9375
2744,78.25
2752,78.6875
2760,79.125
2768,79.25
2776,79.0625
2784,78.75
2792,78.125
2800,77.375
2808,76.4375
2816,75.4375
2824,74.4375
2832,73.5
2840,72.75
2848,72.0625
2856,71.3125
2864,70.4375
2872,69.1875
2880,67.6875
2888,66
2896,64.4375
2904,63.0625
2912,61.9375
2920,61.125
2928,60.5
2936,60.0625
2944,59.8125
2952,60.1875
2960,62.3125
2968,67.5625
2976,76.8125
2984,89.375
2992,102.5
3000,113.25
3008,119.438
3016,120.688
3024,118
3032,112.875
3040,107.062
3048,101.625
3056,97.3125
3064,94.1875
3072,92.1875
3080,91
3088,90.375
3096,90
3104,89.625
3112,89.0625
3120,88
3128,86.5
3136,84.4375
3144,81.9375
3152,79.125
3160,76.4375
3168,74.4375
3176,73.625
3184,73.9375
3192,75.0625
3200,76.625
3208,78.1875
3216,79.375
3224,79.9375
3232,79.9375
3240,79.3125
3248,78.25
3256,76.6875
3264,74.875
3272,72.9375
3280,71
3288,69.125
3296,67.5
3304,66.125
3312,65.125
3320,64.375
3328,63.8125
3336,63.4375
3344,63.1875
3352,62.9375
3360,62.75
3368,62.4375
3376,62
3384,61.375
3392,60.625
3400,60.1875
3408,61.0625
3416,64.875
3424,72.6875
3432,84.125
3440,97.0625
3448,108.438
3456,116.062
3464,118.938
3472,117.562
3480,113.375
3488,108
3496,102.812
3504,98.5625
3512,95.375
3520,93
3528,90.9375
3536,89.0625
3544,87.375
3552,85.8125
3560,84.375
3568,83.0625
3576,81.875
3584,80.5625
3592,79.0625
3600,77.25
3608,75.5625
3616,74.375
3624,74.1875
3632,74.9375
3640,76.3125
3648,77.75
3656,78.75
3664,79.0625
3672,78.6875
3680,77.625
3688,76.1875
3696,74.4375
3704,72.6875
3712,71.1875
3720,70.0625
3728,69.125
3736,68.3125
3744,67.6875
3752,67.125
3760,66.625
3768,66.0625
3776,65.5
3784,64.8125
3792,63.9375
3800,62.875
3808,61.6875
3816,60.3125
3824,58.9375
3832,57.6875
3840,56.6875
3848,56.4375
3856,57.75
3864,62.0625
3872,70.625
3880,83
3888,96.8125
3896,108.938
3904,116.938
3912,119.75
3920,117.812
3928,112.812
3936,106.438
3944,100.312
3952,95.25
3960,91.625
3968,89.1875
3976,87.75
3984,86.8125
3992,86.1875
4000,85.625
4008,85
4016,84.3125
4024,83.4375
4032,82.25
4040,80.5625
4048,78.3125
4056,75.8125
4064,73.6875
4072,72.3125
4080,71.9375
4088,72.4375
4096,73.5
4104,74.75
4112,75.75
4120,76.375
4128,76.5
4136,76.0625
4144,75.25
4152,74.1875
4160,73
4168,71.8125
4176,70.5625
4184,69.1875
4192,67.75
4200,66.25
4208,64.75
4216,63.375
4224,62.125
4232,61.1875
4240,60.4375
4248,59.875
4256,59.3125
4264,58.75
4272,58.1875
4280,57.5625
4288,57.0625
4296,57.25
4304,59
4312,63.4375
4320,71.375
4328,81.9375
4336,92.9375
4344,102.312
4352,108.75
4360,111.125
4368,109.5
4376,105.25
4384,99.9375
4392,94.8125
4400,90.6875
4408,87.875
4416,86.1875
4424,85.3125
4432,84.75
4440,84.125
4448,83.1875
4456,81.8125
4464,80.125
4472,78.1875
4480,75.9375
4488,73.5625
4496,71.125
4504,68.875
4512,67.3125
4520,66.8125
4528,67.4375
4536,68.875
4544,70.8125
4552,72.75
4560,74.25
4568,75.0625
4576,74.9375
4584,73.875
4592,72.0625
4600,69.8125
4608,67.375
4616,65.1875
4624,63.375
4632,62
4640,61
4648,60.375
4656,60
4664,59.8125
4672,59.75
4680,59.8125
4688,59.875
4696,59.75
4704,59.375
4712,58.5
4720,57.25
4728,55.6875
4736,54.125
4744,52.9375
4752,52.875
4760,55
4768,60.625
4776,70.0625
4784,81.9375
4792,93.75
4800,103
4808,108.188
4816,109.125
4824,106.5
4832,101.688
4840,96.0625
4848,90.75
4856,86.375
4864,83.125
4872,80.8125
4880,79.3125
4888,78.3125
4896,77.5
4904,76.75
4912,75.75
4920,74.4375
4928,72.625
4936,70.5
4944,68.5
4952,67.125
4960,66.625
4968,67
4976,67.8125
4984,68.75
4992,69.5
5000,69.875
5008,69.875
5016,69.375
5024,68.5625
5032,67.5625
5040,66.5
5048,65.625
5056,64.9375
5064,64.5625
5072,64.4375
5080,64.5
5088,64.5
5096,64.25
5104,63.5625
5112,62.5
5120,61.0625
5128,59.5
5136,57.9375
5144,56.5625
5152,55.5
5160,54.6875
5168,54.1875
5176,53.9375
5184,54.25
5192,55.6875
5200,59.5625
5208,67.0625
5216,78.375
5224,91.625
5232,103.938
5240,112.75
5248,116.75
5256,116.188
5264,112.25
5272,106.688
5280,101
5288,96.125
5296,92.5625
5304,90.1875
5312,88.75
